time,open,high,low,close,EMA,EMA,EMA,EMA,Volume,Volume MA
2007-05-08,0.426,0.626,0.426,0.596,,0.6059237256028276,0.6732813658963261,,,
2007-05-09,0.426,0.626,0.422,0.533,,0.5989786088787488,0.6677801358611761,,,
2007-05-10,0.588,0.76,0.588,0.688,,0.6074568366045822,0.6685730717097574,,,
2007-05-11,0.618,0.797,0.513,0.625,,0.6091276140708124,0.6668643237995708,,,
2007-05-14,0.749,0.749,0.432,0.502,,0.5989249841593065,0.6603990561995877,,,
2007-05-15,0.749,0.749,0.432,0.502,,0.5896940332869915,0.6541873285054862,,,
2007-05-16,0.749,0.749,0.432,0.502,,0.5813422205929923,0.6482191979758594,,,
2007-05-17,0.526,0.565,0.45,0.492,,0.572833437679374,0.6420929549179826,,,
2007-05-18,0.749,0.749,0.432,0.502,,0.5660873959956241,0.63659911354865,,,
2007-05-21,0.749,0.749,0.432,0.502,,0.5599838344722313,0.631320716938899,,,
2007-05-22,0.563,0.643,0.482,0.599,,0.5636996597605902,0.630053237843256,,,
2007-05-23,0.749,0.749,0.432,0.502,,0.5578235016881531,0.6250315422415597,,,
2007-05-24,0.749,0.749,0.432,0.502,,0.5525069777178528,0.6202067758791455,,,
2007-05-25,0.531,0.689,0.528,0.556,,0.5528396465066288,0.6176888630995712,,,
2007-05-29,0.481,0.603,0.479,0.575,,0.5549501563631403,0.6160147900368429,,,
2007-05-30,0.619,0.737,0.567,0.665,,0.565431093852365,0.6179357786628491,,,
2007-05-31,0.439,0.53,0.352,0.515,,0.5606281325330922,0.6138990814603844,,,
2007-06-01,0.506,0.548,0.422,0.508,,0.5556159294347025,0.6097461763050752,,,
2007-06-04,0.527,0.527,0.46,0.523,,0.5525096504409213,0.606344365469582,,,
2007-06-05,0.69,0.69,0.543,0.632,,0.5600801599227383,0.6073504687845004,,,
2007-06-06,0.548,0.627,0.457,0.608,,0.5646439542158108,0.6073759405968729,,,
2007-06-07,0.551,0.725,0.51,0.723,,0.5797254823857336,0.6119102174362112,,,
2007-06-08,0.582,0.643,0.573,0.593,,0.5809897221585208,0.61116864028185,,,
2007-06-11,0.534,0.893,0.534,0.705,,0.5928002248100903,0.6148483014472677,,,
2007-06-12,0.601,0.887,0.601,0.652,,0.5984382986377008,0.6163052308022767,,,
2007-06-13,0.576,0.752,0.557,0.576,,0.5963013178150627,0.6147246335159129,,,
2007-06-14,0.547,0.553,0.458,0.531,,0.5900821446898186,0.6114413145545046,0.68877,,
2007-06-15,0.454,0.507,0.422,0.479,,0.5795028928145978,0.6062475375131514,0.6846161386138614,,
2007-06-18,0.46,0.647,0.46,0.572,,0.5787883315941599,0.6049044968263612,0.6823861160670522,,
2007-06-19,0.465,0.671,0.453,0.657,,0.5862370619185256,0.6069474577351313,0.6818834206993878,,
2007-06-20,0.516,0.659,0.514,0.618,,0.5892621036405709,0.6073808907651261,0.6806184024677168,,
2007-06-21,0.495,0.701,0.462,0.606,,0.5908561890081355,0.6073267381861016,0.6791408103396431,,
2007-06-22,0.532,0.71,0.515,0.627,,0.5942984567216464,0.6080982386493917,0.6781083190457888,,
2007-06-25,0.713,0.776,0.568,0.745,,0.6086509846529181,0.613466935172945,0.6794329067874564,,
2007-06-26,0.575,0.691,0.5,0.691,,0.6164937480193069,0.616507447519104,0.6796619581381999,,
2007-06-27,0.664,0.725,0.623,0.643,,0.6190181529698491,0.6175463711458058,0.6789359787691266,,
2007-06-28,0.55,0.581,0.458,0.574,,0.6147307098298634,0.6158386703165585,0.6768580385954805,,
2007-06-29,0.597,0.648,0.513,0.641,,0.617232546988924,0.6168253891276738,0.676147978425273,,
2007-07-02,0.444,0.684,0.444,0.535,,0.6094008758471218,0.6136165503383533,0.6733529689515052,,
2007-07-03,0.436,0.571,0.399,0.57,,0.6056484114807292,0.611906097383908,0.671306375506921,,
2007-07-05,0.493,0.591,0.46,0.551,,0.6004438008635169,0.6095176229766959,0.6689240710414374,,
2007-07-06,0.54,0.54,0.45,0.526,,0.5933539150669915,0.6062424220756489,0.6660938914168545,,
2007-07-09,0.526,0.541,0.434,0.515,,0.5858916374415638,0.6026642878766039,0.6631019331709762,,
2007-07-10,0.45,0.592,0.406,0.592,,0.586473386256653,0.6022460805088939,0.6616939740982836,,
2007-07-11,0.44,0.633,0.44,0.568,,0.5847140161369718,0.6009030969595256,0.6598386478785155,,
2007-07-12,0.325,0.493,0.325,0.479,,0.5746460146001173,0.5961225833532697,0.6562576845541885,,
