Index,Signale,Anzahl Signale,gruen_max,rot_min,Anteil Rot,CAGR Buy&Hold,CAGR Strategie,MaxDD Buy&Hold,MaxDD Strategie,Calmar Strategie
S&P 500,"H1_20, H1_100, H1_200, H2_20",4,0.0,1.0,0.12209547950992818,0.09053726334793533,0.09610928290620402,-0.5677538774277289,-0.3862905715570366,0.24880048849966116
Dow Jones,"H1_20, H1_100, H1_200, H2_20",4,0.0,1.0,0.12843261512463033,0.07736755695283803,0.08308630171993658,-0.5377856040192824,-0.39281638099884997,0.21151435056925447
NASDAQ 100,"H1_20, H1_100, H1_200, H2_20",4,0.0,1.0,0.11258977608787495,0.15514312300016697,0.14489943652897574,-0.5370615106846015,-0.3346911924044277,0.4329347165905847
Russell 2000,"H1_20, H1_100, H1_200, H2_20",4,0.0,1.0,0.16096324461343473,0.07142830285778912,0.08004479378486029,-0.5988875493048391,-0.38579312394885634,0.20748113124865242
