signal,horizont_tage,n_events,mean_return,mean_mdd,sharpe,mean_return_basis,t_pvalue,u_pvalue,signifikant_5pct,Börse,Ratio_Art,Niveau,Index,Mehrrendite,belastbar
volume_ratio_70pct_fallend,60,615,0.04050771659339658,-0.08208568427529908,0.9687693353323322,0.028311368714780343,0.000828989203891951,1.0681093111030357e-05,True,NYSE,volume_ratio,70,S&P 500,0.012196347878616239,True
volume_ratio_70pct_fallend,90,615,0.06069791900615738,-0.09523906495765172,1.0267620472589387,0.04396284453524409,7.339974504476164e-05,5.793961177776981e-07,True,NYSE,volume_ratio,70,S&P 500,0.01673507447091329,True
volume_ratio_70pct_fallend,30,615,0.0189549273422706,-0.05801352921067927,0.8567573668381635,0.01178733651352356,0.008228641464087498,2.0119937912077232e-05,True,NYSE,volume_ratio,70,Dow Jones,0.007167590828747041,True
volume_ratio_70pct_fallend,60,615,0.035444882751124875,-0.07835234536396722,0.9253654210849611,0.024024435989243597,0.0006492530252032046,1.7882237319637706e-05,True,NYSE,volume_ratio,70,Dow Jones,0.011420446761881278,True
volume_ratio_70pct_fallend,90,615,0.05063698209977105,-0.09110354230020452,0.9633904152647569,0.036984628218799685,0.00028712484090849966,1.945758271741463e-05,True,NYSE,volume_ratio,70,Dow Jones,0.013652353880971364,True
volume_ratio_70pct_fallend,30,615,0.028746081975540176,-0.06817063937277854,1.089556581882045,0.0208181305852853,0.014665574733719969,0.0007614038754685471,True,NYSE,volume_ratio,70,NASDAQ 100,0.007927951390254876,True
volume_ratio_70pct_fallend,60,615,0.05935084433531941,-0.09015180988259003,1.1942657526787521,0.04359806895872419,0.00028975598520878087,3.8969093058969885e-05,True,NYSE,volume_ratio,70,NASDAQ 100,0.015752775376595224,True
volume_ratio_70pct_fallend,90,615,0.09111377523857106,-0.10475075951444437,1.2581492640776615,0.06726908641625615,4.108078644108434e-06,1.1818721814934499e-07,True,NYSE,volume_ratio,70,NASDAQ 100,0.023844688822314913,True
volume_ratio_70pct_fallend,30,615,0.022146996192091904,-0.08069027159694615,0.6954386346714356,0.012585319613388988,0.014263715297924404,0.00012134124922261024,True,NYSE,volume_ratio,70,Russell 2000,0.009561676578702915,True
volume_ratio_70pct_fallend,60,615,0.044369732010008225,-0.10945705604775094,0.7761135891590574,0.025881882933534207,0.00021812595452714193,2.467069766994994e-06,True,NYSE,volume_ratio,70,Russell 2000,0.01848784907647402,True
volume_ratio_70pct_fallend,90,615,0.0668345243005671,-0.1265892688823878,0.8240775598551908,0.04036438933282927,5.443409382688903e-06,5.899200172381195e-08,True,NYSE,volume_ratio,70,Russell 2000,0.026470134967737834,True
volume_ratio_80pct_fallend,30,321,0.019472811576962654,-0.06908880128252363,0.7369624391021015,0.013693655159976469,0.18550582789430672,0.0011282453877134184,False,NYSE,volume_ratio,80,S&P 500,0.005779156416986186,True
