time,open,high,low,close,EMA,EMA,EMA,EMA
2013-10-14,76.16,76.16,76.16,76.16,,,,
2013-10-15,75.14,75.49,73.78,73.78,,,,
2013-10-16,75.01,76.24,75.01,75.32,,,,
2013-10-17,75.06,77.57,75.06,77.4,,,,
2013-10-18,78.06,78.99,77.76,78.98,,,,
2013-10-21,78.14,78.35,77.27,77.62,,,,
2013-10-22,78.13,78.7,77.77,78.49,,,,
2013-10-23,77.82,78.7,77.67,78.13,,,,
2013-10-24,78.24,79.26,78.03,79.26,,,,
2013-10-25,78.96,79.16,78.44,79.11,,,,
2013-10-28,78.84,79.09,78.17,79.09,,,,
2013-10-29,79.09,79.29,78.37,79.28,,,,
2013-10-30,78.51,78.51,76.14,76.14,,,,
2013-10-31,75.99,75.99,74.18,74.18,,,,
2013-11-01,73.1,73.31,71.09,72.95,,,,
2013-11-04,73.31,74.29,72.95,74.29,,,,
2013-11-05,72.84,73.62,72.48,72.88,,,,
2013-11-06,73.5,73.55,71.9,72.29,,,,
2013-11-07,72.44,72.44,69.21,69.21,,,,
2013-11-08,69.73,72,69.57,71.9,,75.82300000000001,,
2013-11-11,71.17,72.46,71.07,71.74,,75.43414285714286,,
2013-11-12,71.33,71.53,70.29,71.43,,75.05279591836735,,
2013-11-13,70.19,72.41,70.19,72.41,,74.80110106899903,,
2013-11-14,72.31,72.62,71.48,72.15,,74.54861525290389,,
2013-11-15,71.9,72.93,71.43,72.77,,74.3792233240559,,
2013-11-18,72.88,73.91,71.36,71.36,,74.09167824557439,,
2013-11-19,71.31,72.6,70.28,70.47,,73.74675650790063,,
2013-11-20,70.99,71.82,70.06,70.32,,73.42039874524342,,
2013-11-21,70.83,73.42,70.83,73.4,,73.4184560076012,,
2013-11-22,72.94,73.77,72.78,73.7,,73.44526972116299,,
2013-11-25,74.06,75.1,73.55,74.37,,73.53333927152842,,
2013-11-26,74.48,75.56,74.22,75.29,,73.70064029328762,,
2013-11-27,75.14,76.64,75.03,76.58,,73.97486502726022,,
2013-11-29,76.82,77.55,76.82,76.98,,74.26106835799735,,
2013-12-02,76.3,76.3,73.45,73.75,,74.21239518104522,,
2013-12-03,73.65,74.22,72.97,73.34,,74.12930992570759,,
2013-12-04,72.45,74.17,71.05,72.45,,73.96937564706877,,
2013-12-05,71.93,72.82,71.57,72.44,,73.82372082353841,,
2013-12-06,74.26,75.24,73.79,73.79,,73.82050931653475,,
2013-12-09,74.15,74.15,72.23,72.75,,73.71855604829335,,
2013-12-10,73.01,73.01,70.36,70.38,,73.40059832940827,,
2013-12-11,70.33,70.33,67.48,67.89,,72.8757794408932,,
2013-12-12,67.94,68.25,67.16,67.94,,72.40570520842718,,
2013-12-13,68.36,69.09,67.37,68.55,,72.03849518857697,,
2013-12-16,70.16,70.99,70.01,70.89,,71.92911469442679,,
2013-12-17,70.37,71.3,69.9,71.1,,71.85015139019566,,
2013-12-18,71.62,73.7,70.32,73.63,,72.0196607816056,,
2013-12-19,72.85,73.01,72.07,72.35,,72.05112165954792,,
2013-12-20,73.19,75.89,72.87,75.88,,72.41577673959097,,
2013-12-23,75.98,76.82,75.98,76.75,,72.82855990724897,73.86619999999999,
2013-12-24,76.75,77.85,76.75,77.27,,73.2515542017967,73.99968235294116,
