time,open,high,low,close,EMA,EMA,EMA,EMA
2006-12-29,63.33,63.33,63.33,63.33,,,,
2007-01-02,63.33,63.33,63.33,63.33,,,,
2007-01-03,63.33,63.33,63.33,63.33,,,,
2007-01-04,60,60,60,60,,,,
2007-01-05,40,40,40,40,,,,
2007-01-08,43.33,43.33,43.33,43.33,,,,
2007-01-09,43.33,43.33,43.33,43.33,,,,
2007-01-10,56.67,56.67,56.67,56.67,,,,
2007-01-11,73.33,73.33,73.33,73.33,,,,
2007-01-12,66.67,66.67,66.67,66.67,,,,
2007-01-15,66.67,66.67,66.67,66.67,,,,
2007-01-16,70,70,70,70,,,,
2007-01-17,60,60,60,60,,,,
2007-01-18,60,60,60,60,,,,
2007-01-19,66.67,66.67,66.67,66.67,,,,
2007-01-22,63.33,63.33,63.33,63.33,,,,
2007-01-23,56.67,56.67,56.67,56.67,,,,
2007-01-24,60,60,60,60,,,,
2007-01-25,46.67,46.67,46.67,46.67,,,,
2007-01-26,43.33,43.33,43.33,43.33,,58.333000000000006,,
2007-01-29,43.33,43.33,43.33,43.33,,56.904142857142865,,
2007-01-30,36.67,36.67,36.67,36.67,,54.97708163265307,,
2007-01-31,60,60,60,60,,55.45545481049563,,
2007-02-01,66.67,66.67,66.67,66.67,,56.523506733305574,,
2007-02-02,63.33,63.33,63.33,63.33,,57.171744187276474,,
2007-02-05,70,70,70,70,,58.39348283610729,,
2007-02-06,66.67,66.67,66.67,66.67,,59.18172256600183,,
2007-02-07,66.67,66.67,66.67,66.67,,59.89489184543023,,
2007-02-08,70,70,70,70,,60.8572830982464,,
2007-02-09,46.67,46.67,46.67,46.67,,59.50611327936579,,
2007-02-12,43.33,43.33,43.33,43.33,,57.96553106228333,,
2007-02-13,60,60,60,60,,58.15929000873254,,
2007-02-14,70,70,70,70,,59.28697667456753,,
2007-02-15,70,70,70,70,,60.30726461032301,,
2007-02-16,73.33,73.33,73.33,73.33,,61.54752512362558,,
2007-02-19,73.33,73.33,73.33,73.33,,62.66966558804219,,
2007-02-20,70,70,70,70,,63.36779267489532,,
2007-02-21,53.33,53.33,53.33,53.33,,62.411812420143384,,
2007-02-22,50,50,50,50,,61.22973504679639,,
2007-02-23,46.67,46.67,46.67,46.67,,59.84309361376816,,
2007-02-26,40,40,40,40,,57.95327517436167,,
2007-02-27,3.33,3.33,3.33,3.33,,52.75105849108913,,
2007-02-28,3.33,3.33,3.33,3.33,,48.04429101574731,,
2007-03-02,3.33,3.33,3.33,3.33,,43.78578710948566,,
2007-03-05,3.33,3.33,3.33,3.33,,39.93285500382036,,
2007-03-06,3.33,3.33,3.33,3.33,,36.44686881298033,,
